user_input,retrieved_contexts,response,reference,faithfulness,answer_relevancy,context_precision,context_recall,answer_correctness,document_id
Quem precisa assinar a autodeclaração dizendo que pertence ao grupo racial negro no vestibular da UDESC?,"['## Chunk 1\n```\nArt. 1º O caput do artigo 8° da Resolução n° 017/2011 – CONSUNI, passa a ter a seguinte redação, ficando suprimidos os parágrafos 1° e 2°: “\n\nArt. 8º Os candidatos classificados no vestibular para as vagas a que se refere o inciso II do art. 6º deverão assinar a autodeclaração de que são pertencentes ao grupo racial negro.”.\n\nArt. 2º O caput e os parágrafos 3° e 4° do artigo 9° da Resolução n° 017/2011 – CONSUNI, passam a ter a seguinte redação, ficando suprimidos os parágrafos 1° e 5° do mesmo artigo, nos seguintes termos: “', 'Art. 9º A Comissão de Verificação se formará caso haja denúncias, para apurar os fatos denunciados e fornecer relatório à Pró-Reitoria de Extensão, Cultura e\nComunidade.\n§ 1º - Cada Comissão será constituída por 3 (três) membros e 1 (um) suplente.\n§ 2º - Poderão integrar a comissão professores e técnicos universitários da UDESC que participem de discussões sobre inclusão social, relações étnico-raciais e/ou tenham interesse de pesquisa ou extensão nessas áreas, bem como membros da comunidade que participem de associações, órgãos ou instituições ligados a questões étnico-raciais.\n§ 3º - Caberá à Pró-Reitoria de Extensão, Cultura e Comunidade a composição da\nComissão de Verificação.”. (NR)\n\nArt. 3º Esta Resolução entra em vigor nesta data.']",Os candidatos classificados no vestibular para as vagas a que se refere o inciso II do art. 6º.,Os candidatos classificados nas vagas destinadas a pessoas negras precisam assinar a autodeclaração.,1.0,0.8358120727775661,0.9999999999,1.0,0.592285367328709,067-2013-cni
Quem pode pedir o regime especial de atendimento domiciliar na UDESC?,"['Art. 3º A Fundação Universidade do Estado de Santa Catarina - UDESC, de acordo com as condições disponíveis e conforme o conteúdo curricular da disciplina, poderá conceder as atividades domiciliares com acompanhamento, para seus acadêmicos que assim o requeiram, nos moldes desta\nResolução.\n\nArt. 4º O regime especial de atendimento domiciliar deve ser solicitado pelo acadêmico ou procurador quando da observação do problema que impede o acadêmico de manter frequência normal em aula, não sendo concedido em hipótese alguma para data retroativa à data do início do impedimento.\nParágrafo único. Disciplinas de caráter prático e estágios não poderão ter atendimento domiciliar temporário.', 'Art. 12. O Chefe de Departamento do curso e professor da disciplina terão 3 (três) dias úteis, contados do recebimento da Secretaria de Ensino de Graduação, para emitir parecer sobre as disciplinas em que será possível aplicar o plano de estudos.\nArt. 13. Mediante justificativa fundamentada, a chefia do departamento poderá indeferir a solicitação que será comunicado ao acadêmico pela Secretaria de Ensino de Graduação.\nArt. 14. A concessão do regime especial de atendimento domiciliar será por semestre em que o acadêmico estiver matriculado, de acordo com o Calendário Acadêmico da UDESC.']","De acordo com o Art. 4º, o regime especial de atendimento domiciliar deve ser solicitado pelo acadêmico ou por um procurador.","Podem solicitar estudantes em licença maternidade, em situações excepcionais com atestado médico, ou acadêmicos com condições de saúde que impeçam a frequência às aulas, como tratamentos, infecções, traumatismos ou outras afecções comprovadas por profissional de saúde.",0.0,0.9546443164882183,0.0,0.0,0.40205751688330027,002-2019-cpe
Que tipos de atividades podem contar como Atividades Complementares na UDESC?,"['Art. 5º O prazo para solicitar a validação das atividades complementares, via sistema acadêmico, deverá ocorrer 10 dias após o início do período letivo e, no mínimo, 20 dias antes da finalização do período letivo, conforme calendário acadêmico da UDESC.\nParagrafo único: As atividades complementares, assim como as atividades de creditação de extensão possuem similaridades, todavia, o acadêmico só poderá validar cada atividade uma única vez, escolhendo em qual componente curricular irá validar: ou atividades complementares ou creditação da extensão.\n(incluído pela )', '## Chunk 1\n```\nArt. 1º O § 3º do art. 1º da Resolução nº 026/2012 – CONSEPE, que “Regulamenta as atividades complementares nos cursos de graduação da UDESC.”, passa a vigorar com a seguinte redação: “\n\nArt. 1º (...) § 3º O total da carga horária atribuída às Atividades Complementares deve estar entre 2% e 6% do total da carga horária mínima do curso definida pela legislação, tanto para as modalidades presenciais como para as modalidades a distância, não podendo exceder este limite.”\n\nArt. 2º Esta Resolução entra em vigor nesta data.']",Não foi possível encontrar a informação no contexto fornecido.,"Podem ser atividades de ensino, pesquisa, extensão, administração universitária ou mistas que integrem teoria e prática, conforme previsto na regulamentação.",0.0,0.0,0.0,0.0,0.20247317478229,"001-2022-ceg, 004-2021-ceg"
Como o aluno valida uma atividade de extensão na UDESC?,"['Art. 5º O prazo para solicitar a validação das atividades complementares, via sistema acadêmico, deverá ocorrer 10 dias após o início do período letivo e, no mínimo, 20 dias antes da finalização do período letivo, conforme calendário acadêmico da UDESC.\nParagrafo único: As atividades complementares, assim como as atividades de creditação de extensão possuem similaridades, todavia, o acadêmico só poderá validar cada atividade uma única vez, escolhendo em qual componente curricular irá validar: ou atividades complementares ou creditação da extensão.\n(incluído pela )', 'Art. 8º Para validar as atividades de extensão como Unidades de Creditação de Extensão é necessário que o discente comprove sua participação. Para fins de validação, os seguintes procedimentos devem ser realizados:\nI – Ao término de sua participação na atividade o aluno deve apresentar à Coordenação de\nUCE o formulário em que o Coordenador da ação de extensão descreverá o tipo de ação, sua duração, a carga horária total executada e as atividades desenvolvidas (vide Anexo I)\nII – O discente receberá a declaração do Coordenador da ação ao finalizar o plano de atividades proposto;\nIII – A carga horária total será convertida em créditos, sendo que cada 18 horas correspondem a 1 crédito;\nIV – Os créditos serão lançados no Sistema de Gestão Acadêmica pelo Coordenador de UCE.']","Para validar as atividades de extensão como Unidades de Creditação de Extensão, o discente deve comprovar sua participação seguindo estes procedimentos:

I – Ao término de sua participação na atividade, o aluno deve apresentar à Coordenação de UCE o formulário em que o Coordenador da ação de extensão descreve o tipo de ação, sua duração, a carga horária total executada e as atividades desenvolvidas.
II – O discente receberá a declaração do Coordenador da ação ao finalizar o plano de atividades proposto.
III – A carga horária total será convertida em créditos, sendo que cada 18 horas correspondem a 1 crédito.
IV – Os créditos serão lançados no Sistema de Gestão Acadêmica pelo Coordenador de UCE.","Entregando o formulário assinado pelo coordenador da ação à Coordenação de UCE, que registra os créditos.",1.0,0.9383710869878215,0.49999999995,1.0,0.4308561047306089,"001-2022-ceg, 006-2025-ceg"
Qual é a média mínima para um aluno ser aprovado na UDESC?,"['Art. 6º - A aprovação em Exame de Suficiência de uma disciplina dispensa o aluno de cursá-la na forma regular, sendo-lhe atribuídos os respectivos créditos.\n\nArt. 7º - A Direção Geral do Centro, anualmente, obedecendo ao prazo estabelecido no\nCalendário Acadêmico da UDESC, expedirá edital de chamada para o referido Exame, indicando:\nI. Disciplinas ofertadas para avaliação nesta modalidade;\nII. Período e requisitos para inscrição;\nIII. Data de divulgação das inscrições deferidas e indeferidas.\n\nArt. 8º - O aluno interessado em realizar Exame de Suficiência deverá efetuar a inscrição junto à Secretaria Acadêmica do Centro.', '§ 2º Caso a aplicação da fórmula leve a não ocorrência de vagas, o Centro/Departamento poderá solicitar vagas mediante justificativa da Direção de Ensino de Graduação à Pró-Reitoria de Ensino (PROEN), cabendo a esta a autorização.\n§ 3º Para os cursos de graduação onde a ocupação média das vagas das disciplinas da primeira fase for igual ou superior a 90% do número de vagas por semestre definido no projeto pedagógico vigente do curso (NV), sendo esse percentual verificado após a data prevista no calendário acadêmico da UDESC para solicitação de dispensa de disciplina (para todos), desmatrícula em disciplina e trancamento de matrícula para acadêmicos da graduação, o número de vagas poderá ser de 25% sobre o NV. (Redação dada pela )']",Não foi possível encontrar a informação no contexto fornecido.,"Média 7,0 e frequência mínima de 75%.",0.0,0.0,0.0,0.0,0.200939958794074,"032-2004-cpe, 004-2023-ceg"
Qual é o valor de um crédito nas disciplinas da graduação?,"['disciplinas curricular\nENS 10\nParticipação em organização de eventos de Cada evento equivale a 1,5 créditos (máximo de 06 créditos no curso).\nEnsino.\nENS 11\nApresentação de trabalhos em congressos, Cada apresentação equivale a 02 créditos jornadas, simpósios, fóruns, seminários, cursos, (máximo de 06 créditos no curso).\npalestras, encontros, festivais e similares, com Obs.: 01 crédito por trabalho.\nrelatório de participação e certificado de aproveitamento e/ou frequência.\nENS 12\nPublicação de artigo em jornal, revista Cada artigo equivale a 02 créditos especializada e/ou científica da área com corpo (máximo de 06 créditos no curso).\neditorial.\nENS 13\nPublicação de Livro/Coletâneas relacionadas ao Cada livro ou coletânea equivale a 08\nEnsino créditos (máximo de 08 créditos no curso)\nENS 14', 'Ensino créditos (máximo de 08 créditos no curso)\nENS 14\nPublicação de capítulo em livros dedicados ao Cada capítulo equivale a 02 créditos\nEnsino. (máximo de 06 créditos no curso)\nENS 15\nATIVIDADES COMPLEMENTARES DE EXTENSÃO\nAtividades Créditos da Disciplina\nParticipação em Cursos de extensão, presencial ou a Cada 18 horas de participação distância, que tenham relação com o curso, equivale a 01 crédito (máximo de 04 créditos no curso)\nEXT 01\nParticipação em eventos culturais, técnicos, científicos, Cada participação em evento artísticos, esportivos e recreativos, que não sejam equivale a 01 crédito ou 18 h/a oriundas de atividades de disciplinas curriculares. (máximo de 04 créditos no curso)\nEXT 02']","Para a atividade de Participação em Cursos de extensão, 18 horas de participação equivalem a 01 crédito. Para a atividade de Participação em eventos culturais, técnicos, científicos, artísticos, esportivos e recreativos, 01 crédito equivale a 18 h/a.",Cada crédito corresponde a 18 horas de atividades.,1.0,0.8879923844797551,0.49999999995,1.0,0.8177099261531005,001-2022-ceg
Quantas disciplinas isoladas podem ser cursadas por semestre na UDESC?,"['Art. 3° - Poderão ser aceitas matrículas em no máximo 2 (duas) disciplinas isoladas por semestre, para cada solicitante.\nParágrafo único. Serão consideradas exceções outras situações que não estão incluídas nas rotinas acadêmicas como: matrículas em disciplinas orientadas; matrículas em disciplinas para alunos estrangeiros e, matrículas em disciplinas para alunos estrangeiros que necessitam validar o Diploma.\n\nArt. 4° - A partir das inscrições, caberá ao Colegiado de Ensino definir:\nI - disciplinas possíveis de serem cursadas pelo candidato;\nII - pré-requisitos;\nIII - número de vagas disponíveis;\nIV - procedimentos de matrícula;\nV - direitos e deveres, respeitados o Estatuto e Regimento Geral da UDESC e os termos da presente Resolução.', 'Art. 5° - O aluno matriculado em disciplinas isoladas deverá submeter-se a verificação da aprendizagem, assegurando-lhe:\nI – o registro no histórico escolar, quando se tratar de aluno de outro curso da UDESC; e\nII – certificado de conclusão, de acordo com o Artigo 253 do Regimento Geral, quando se tratar de alunos da comunidade ou de outra instituição de ensino superior.\n\nArt. 6º – O registro e o controle Acadêmico dos alunos matriculados em disciplinas isoladas deverão ser feitos pela estrutura já existente no respectivo Centro.\n\nArt. 7º – Os alunos matriculados em disciplinas isoladas serão supervisionados pelo\nCoordenador de Colegiado de Ensino.\n\nArt. 8º – Os casos omissos serão analisados pelo Colegiado de Ensino.\n\nArt. 9º – Fica revogada a Resolução nº 016/2005-CONSEPE.']","De acordo com o Art. 3°, poderão ser aceitas matrículas em no máximo 2 (duas) disciplinas isoladas por semestre, para cada solicitante.","Cada solicitante pode se matricular em no máximo duas disciplinas isoladas por semestre, salvo exceções previstas, como disciplinas orientadas ou casos de alunos estrangeiros que necessitam validar o diploma.",1.0,0.9348173448768183,0.9999999999,1.0,0.48339719774253476,005-2009-cpe
Quais disciplinas podem ser oferecidas em caráter de Estudo Dirigido?,"['Art. 4º A disciplina em caráter de Estudo Dirigido é oferecida a partir da demanda dos alunos, com vistas à integralização da matriz curricular do curso, respeitados prazos determinados pela legislação vigente para tal oferta, assegurando os direitos e deveres da Instituição e dos alunos.\nParágrafo único. A oferta será cabível mediante a demanda contabilizada em no máximo 9 (nove) alunos.\nArt. 5º São condições necessárias à disciplina oferecida em Estudo Dirigido:', 'Art. 8º A matrícula em disciplina oferecida na modalidade de Estudo Dirigido será feita através de requerimento específico na Secretaria Acadêmica do Centro de Ensino, apreciada e deferida pela Coordenação de Colegiado de Curso e encaminhada ao Setor de Registro e Controle\nAcadêmico.\n```']",Não foi possível encontrar a informação no contexto fornecido.,"Podem ser oferecidas disciplinas da matriz curricular da UDESC que foram extintas, estão em extinção ou possuem equivalência parcial com as novas matrizes.",0.0,0.0,0.0,0.0,0.19946109746485008,034-2009-cpe
Quais condições o aluno deve atender para se inscrever no Exame de Suficiência?,"['§ 2º - O não comparecimento a Exame de Suficiência a que o aluno se inscreveu, se por motivos e situações previstas em Lei, não é considerado efetiva realização do Exame, para efeitos do que dispõe o inciso III deste artigo.\n§ 3º - O aluno que se inscreveu e não compareceu por motivos e situações previstas em Lei, poderá requerer a 2ª inscrição no semestre subseqüente, na Secretaria Acadêmica do\nCentro.\n§ 4º - Perde o direito de requerer a 2ª inscrição para a mesma disciplina o aluno que faltar sem justificativa.\n§ 5º - A inscrição do aluno para Exame de Suficiência será analisada pela Secretaria\nAcadêmica, para deferimento, se atendidas as condições expressas neste artigo.\n§ 6º - Se a inscrição for deferida a Secretaria Acadêmica encaminhará a solicitação ao\nCoordenador de Curso.', 'Art. 10 - O Exame de Suficiência será aplicado por Banca Examinadora especial e/ou delegação de competência, designada pelo Coordenador de Curso.\n\nArt. 11 - Após a divulgação da relação de inscrições deferidas, a Secretaria Acadêmica divulgará a data, o horário, o local e os responsáveis pela aplicação do exame de suficiência, por disciplina.\n\nArt. 12 - O Exame de Suficiência manterá o mesmo grau de amplitude e profundidade exigido dos alunos com matrícula presencial, atribuindo nota de 0 (zero) a 10 (dez), com um decimal.\nParágrafo único - Será considerado aprovado no Exame de Suficiência o aluno que alcançar nota igual ou superior a 7,0 (sete vírgula zero).\n\nArt. 13 - Após aplicação do Exame de Suficiência, a Secretaria Acadêmica efetuará o registro das notas dos alunos.']",Não foi possível encontrar a informação no contexto fornecido.,"O aluno deve cumprir pré-requisitos, não ter sido reprovado, não ter feito exame antes, não ter faltado previamente e apresentar documentos que comprovem conhecimento ou habilidade.",0.0,0.0,0.0,0.0,0.20210456253737044,032-2004-cpe
Como funciona a avaliação do extraordinário aproveitamento?,"['Art. 3º O acadêmico interessado em comprovar extraordinário aproveitamento de estudos deverá instaurar processo junto à Secretaria de Ensino de Graduação do Centro, com pedido dirigido à Chefia do Departamento do respectivo curso.\nParágrafo Único. O período para solicitar o extraordinário aproveitamento de estudos é 30 dias antes do término do semestre letivo.', 'Art. 6º Caberá ao Chefe do Departamento, em face da comprovação do extraordinário aproveitamento de estudos pelo acadêmico, enviar o processo contendo a prova e as atas avaliativas à Secretaria de Ensino de Graduação para registro e posterior arquivamento.\n\nArt. 7º O acadêmico que obtiver abreviação de estudos, na forma desta Resolução, terá consignado em seu histórico escolar o conceito “Extraordinário Aproveitamento”, bem como a nota obtida no processo de comprovação em causa.\n\nArt. 8º O processo de aceleração de estudos disciplinado nesta Resolução deverá ser encerrado, com decisão final, em no máximo 60 (sessenta) dias após seu início.\n\nArt. 9º Os casos omissos nesta Resolução deverão ser encaminhados pelo Colegiado\nPleno do Departamento ao CONSEPE.']",Não foi possível encontrar a informação no contexto fornecido.,"A avaliação é feita por Banca Examinadora de 3 professores, com provas sobre todo o conteúdo da disciplina; a nota é a média aritmética, e mínimo 9,0 garante aprovação sem exame final.",0.0,0.0,0.0,0.0,0.1969047678464622,020-2015-cpe
